codigo_municipio,anno,cantidad,delito
05001,2010,815,1
05001,2010,1,3
05001,2010,6,4
05001,2010,98,5
05001,2011,2001,1
05001,2011,3,3
05001,2011,16,4
05001,2011,116,5
05001,2012,1848,1
05001,2012,3,3
05001,2012,20,4
05001,2012,124,5
05001,2013,1651,1
05001,2013,4,3
05001,2013,48,4
05001,2013,122,5
05001,2014,1185,1
05001,2014,4,3
05001,2014,8,4
05001,2014,32,5
05001,2015,957,1
05001,2015,4,3
05001,2015,18,4
05001,2015,12,5
05001,2016,860,1
05001,2016,3,3
05001,2016,34,4
05001,2016,18,5
05001,2017,1033,1
05001,2017,10,3
05001,2017,22,4
05001,2017,20,5
05001,2018,1023,1
05001,2018,8,3
05001,2018,44,4
05001,2018,4,5
05001,2019,955,1
05001,2019,5,3
05001,2019,14,4
05001,2019,4,5
05001,2020,915,1
05001,2020,4169,2
05001,2020,9,3
05001,2020,12,4
05001,2020,12,5
05001,2020,4083,6
05001,2020,1648,7
05001,2021,846,1
05001,2021,4390,2
05001,2021,5,3
05001,2021,2,4
05001,2021,2,5
05001,2021,1,6
05001,2021,1573,7
05001,2022,1004,1
05001,2022,5834,2
05001,2022,4,3
05001,2022,2,4
05001,2022,3095,6
05001,2022,3115,7
05001,2023,341,1
05001,2023,8347,2
05001,2023,3,3
05001,2023,20,4
05001,2023,4592,6
05001,2023,2635,7
05001,2024,95,1
05001,2024,453,2
05001,2024,177,6
05001,2024,138,7
05002,2013,2,4
05002,2014,1,3
05002,2015,5,3
05002,2016,1,3
05002,2017,1,1
05002,2017,5,3
05002,2017,2,5
05002,2018,8,3
05002,2019,1,1
05002,2019,1,3
05002,2020,2,2
05002,2020,3,3
05002,2020,7,6
05002,2020,13,7
05002,2021,4,1
05002,2021,3,3
05002,2021,12,7
05002,2022,1,1
05002,2022,1,2
05002,2022,2,3
05002,2022,7,6
05002,2022,10,7
05002,2023,3,1
05002,2023,6,2
05002,2023,3,3
05002,2023,26,6
05002,2023,21,7
05002,2024,1,7
05004,2017,1,3
05004,2018,1,3
05004,2020,1,6
05004,2021,1,2
05004,2021,1,7
05004,2022,1,6
05004,2022,4,7
05021,2013,1,3
05021,2015,1,3
05021,2018,2,3
05021,2019,1,3
05021,2020,1,3
05021,2020,1,7
05021,2021,2,7
05021,2022,1,1
05021,2022,2,3
05021,2022,6,6
05021,2022,10,7
05021,2023,6,2
05021,2023,2,3
05021,2023,7,6
05021,2023,7,7
05030,2011,4,1
05030,2012,2,1
05030,2012,1,3
05030,2012,2,5
05030,2013,2,1
05030,2013,4,5
05030,2015,2,1
05030,2015,1,3
05030,2016,2,1
05030,2017,3,3
05030,2018,2,3
05030,2019,1,1
05030,2020,5,1
05030,2020,9,2
05030,2020,1,3
05030,2020,14,6
05030,2020,17,7
05030,2021,2,1
05030,2021,12,2
05030,2021,11,7
05030,2022,5,1
05030,2022,12,2
05030,2022,20,6
05030,2022,29,7
05030,2023,27,2
05030,2023,3,3
05030,2023,29,6
05030,2023,36,7
05030,2024,2,2
05030,2024,2,7
05031,2013,1,3
05031,2015,2,1
05031,2015,1,3
05031,2015,2,4
05031,2017,2,3
05031,2018,1,1
05031,2018,4,3
05031,2019,3,3
05031,2020,4,6
05031,2020,9,7
05031,2021,1,1
05031,2021,11,2
05031,2021,3,3
05031,2021,5,7
05031,2022,1,1
05031,2022,9,2
05031,2022,12,6
05031,2022,8,7
05031,2023,1,1
05031,2023,37,2
05031,2023,16,6
05031,2023,12,7
05031,2024,1,6
05034,2011,1,1
05034,2011,10,3
05034,2014,2,1
05034,2014,2,3
05034,2015,2,1
05034,2015,1,3
05034,2016,2,1
05034,2016,1,3
05034,2017,1,1
05034,2017,2,3
05034,2018,1,1
05034,2018,1,3
05034,2019,1,1
05034,2019,4,3
05034,2020,1,1
05034,2020,12,2
05034,2020,3,3
05034,2020,9,6
05034,2020,11,7
05034,2021,16,2
05034,2021,1,3
05034,2021,11,7
05034,2022,1,1
05034,2022,14,2
05034,2022,11,6
05034,2022,32,7
05034,2023,30,2
05034,2023,12,6
05034,2023,16,7
05034,2024,1,2
05034,2024,1,6
05034,2024,3,7
05036,2015,1,3
05036,2016,1,3
05036,2018,1,1
05036,2018,1,3
05036,2019,1,3
05036,2020,1,1
05036,2020,2,2
05036,2020,3,6
05036,2021,2,1
05036,2021,1,2
05036,2021,2,7
05036,2022,4,1
05036,2022,2,2
05036,2022,1,3
05036,2022,2,6
05036,2022,8,7
05036,2023,2,3
05036,2023,12,7
05036,2024,1,6
05036,2024,1,7
05038,2013,3,3
05038,2014,1,3
05038,2015,2,3
05038,2016,2,3
05038,2017,5,3
05038,2018,5,3
05038,2019,1,1
05038,2019,2,3
05038,2020,2,2
05038,2020,1,6
05038,2020,4,7
05038,2021,1,1
05038,2021,2,2
05038,2021,1,3
05038,2021,4,7
05038,2022,10,2
05038,2022,3,3
05038,2022,2,6
05038,2022,3,7
05038,2023,5,2
05038,2023,5,6
05040,2015,1,3
05040,2016,1,3
05040,2017,2,3
05040,2018,2,3
05040,2019,1,3
05040,2020,2,2
05040,2020,1,3
05040,2020,12,6
05040,2020,14,7
05040,2021,5,2
05040,2021,7,7
05040,2022,2,2
05040,2022,13,6
05040,2022,6,7
05040,2023,9,2
05040,2023,6,6
05040,2023,5,7
05040,2024,2,3
05042,2010,1,1
05042,2010,2,5
05042,2011,1,3
05042,2012,1,1
05042,2012,2,5
05042,2014,1,1
05042,2014,2,5
05042,2015,1,1
05042,2015,2,3
05042,2015,2,4
05042,2016,2,4
05042,2017,1,3
05042,2019,3,1
05042,2019,5,3
05042,2020,15,2
05042,2020,16,6
05042,2020,23,7
05042,2021,5,1
05042,2021,32,2
05042,2021,2,5
05042,2021,17,7
05042,2022,6,1
05042,2022,27,2
05042,2022,3,3
05042,2022,29,6
05042,2022,39,7
05042,2023,1,1
05042,2023,63,2
05042,2023,4,3
05042,2023,4,5
05042,2023,53,6
05042,2023,59,7
05042,2024,4,2
05042,2024,1,3
05042,2024,1,6
05042,2024,2,7
05044,2013,1,3
05044,2014,1,3
05044,2015,2,3
05044,2016,1,3
05044,2017,1,3
05044,2018,1,1
05044,2019,2,3
05044,2020,2,3
05044,2021,3,2
05044,2021,1,3
05044,2021,1,7
05044,2022,3,2
05044,2022,3,3
05044,2022,3,6
05044,2022,3,7
05044,2023,5,2
05044,2023,4,6
05044,2023,6,7
05045,2011,1,1
05045,2013,3,3
05045,2014,1,1
05045,2015,1,1
05045,2016,1,1
05045,2016,2,3
05045,2017,2,1
05045,2017,1,3
05045,2018,1,1
05045,2018,3,3
05045,2019,4,1
05045,2020,3,1
05045,2020,60,2
05045,2020,81,6
05045,2020,115,7
05045,2021,2,1
05045,2021,79,2
05045,2021,118,7
05045,2022,4,1
05045,2022,99,2
05045,2022,74,6
05045,2022,365,7
05045,2023,3,1
05045,2023,144,2
05045,2023,2,3
05045,2023,133,6
05045,2023,271,7
05045,2024,9,2
05045,2024,5,6
05045,2024,14,7
05051,2017,2,3
05051,2019,1,3
05051,2020,1,2
05051,2020,5,6
05051,2020,1,7
05051,2021,1,1
05051,2021,1,2
05051,2021,1,7
05051,2022,5,2
05051,2022,2,6
05051,2022,2,7
05051,2023,1,1
05051,2023,9,2
05051,2023,4,6
05051,2023,8,7
05051,2024,1,6
05055,2015,1,3
05055,2016,1,3
05055,2017,1,3
05055,2020,1,3
05055,2020,1,7
05055,2021,1,2
05055,2021,4,7
