codigo_departamento,departamento,anno,cantidad
05,ANTIOQUIA,2010,0.561
08,ATLÁNTICO,2010,0.496
11,"BOGOTÁ, D.C.",2010,0.526
13,BOLÍVAR,2010,0.514
15,BOYACÁ,2010,0.538
17,CALDAS,2010,0.535
18,CAQUETÁ,2010,0.45
19,CAUCA,2010,0.565
20,CESAR,2010,0.518
27,CHOCÓ,2010,0.571
23,CÓRDOBA,2010,0.55
25,CUNDINAMARCA,2010,0.46
41,HUILA,2010,0.571
44,LA GUAJIRA,2010,0.613
47,MAGDALENA,2010,0.544
50,META,2010,0.502
52,NARIÑO,2010,0.496
54,NORTE DE SANTANDER,2010,0.493
63,QUINDÍO,2010,0.541
66,RISARALDA,2010,0.484
68,SANTANDER,2010,0.507
70,SUCRE,2010,0.536
73,TOLIMA,2010,0.549
76,VALLE DEL CAUCA,2010,0.52
00,Nación,2010,0.56
81,ARAUCA,2010,0.613
85,CASANARE,2010,0.613
86,PUTUMAYO,2010,0.613
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2010,0.56
91,AMAZONAS,2010,0.613
94,GUAINÍA,2010,0.613
95,GUAVIARE,2010,0.613
97,VAUPÉS,2010,0.613
99,VICHADA,2010,0.613
05,ANTIOQUIA,2011,0.537
08,ATLÁNTICO,2011,0.467
11,"BOGOTÁ, D.C.",2011,0.522
13,BOLÍVAR,2011,0.5
15,BOYACÁ,2011,0.538
17,CALDAS,2011,0.528
18,CAQUETÁ,2011,0.459
19,CAUCA,2011,0.554
20,CESAR,2011,0.506
27,CHOCÓ,2011,0.567
23,CÓRDOBA,2011,0.556
25,CUNDINAMARCA,2011,0.458
41,HUILA,2011,0.555
44,LA GUAJIRA,2011,0.567
47,MAGDALENA,2011,0.533
50,META,2011,0.492
52,NARIÑO,2011,0.501
54,NORTE DE SANTANDER,2011,0.498
63,QUINDÍO,2011,0.532
66,RISARALDA,2011,0.478
68,SANTANDER,2011,0.501
70,SUCRE,2011,0.51
73,TOLIMA,2011,0.531
76,VALLE DEL CAUCA,2011,0.505
00,Nación,2011,0.548
81,ARAUCA,2011,0.567
85,CASANARE,2011,0.567
86,PUTUMAYO,2011,0.567
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2011,0.548
91,AMAZONAS,2011,0.567
94,GUAINÍA,2011,0.567
95,GUAVIARE,2011,0.567
97,VAUPÉS,2011,0.567
99,VICHADA,2011,0.567
05,ANTIOQUIA,2012,0.529
08,ATLÁNTICO,2012,0.464
11,"BOGOTÁ, D.C.",2012,0.497
13,BOLÍVAR,2012,0.507
15,BOYACÁ,2012,0.532
17,CALDAS,2012,0.522
18,CAQUETÁ,2012,0.479
19,CAUCA,2012,0.565
20,CESAR,2012,0.518
27,CHOCÓ,2012,0.616
23,CÓRDOBA,2012,0.542
25,CUNDINAMARCA,2012,0.463
41,HUILA,2012,0.559
44,LA GUAJIRA,2012,0.556
47,MAGDALENA,2012,0.51
50,META,2012,0.505
52,NARIÑO,2012,0.502
54,NORTE DE SANTANDER,2012,0.485
63,QUINDÍO,2012,0.525
66,RISARALDA,2012,0.487
68,SANTANDER,2012,0.487
70,SUCRE,2012,0.483
73,TOLIMA,2012,0.523
76,VALLE DEL CAUCA,2012,0.518
00,Nación,2012,0.539
81,ARAUCA,2012,0.616
85,CASANARE,2012,0.616
86,PUTUMAYO,2012,0.616
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2012,0.539
91,AMAZONAS,2012,0.616
94,GUAINÍA,2012,0.616
95,GUAVIARE,2012,0.616
97,VAUPÉS,2012,0.616
99,VICHADA,2012,0.616
05,ANTIOQUIA,2013,0.532
08,ATLÁNTICO,2013,0.453
11,"BOGOTÁ, D.C.",2013,0.504
13,BOLÍVAR,2013,0.501
15,BOYACÁ,2013,0.533
17,CALDAS,2013,0.524
18,CAQUETÁ,2013,0.467
19,CAUCA,2013,0.548
20,CESAR,2013,0.489
27,CHOCÓ,2013,0.603
23,CÓRDOBA,2013,0.527
25,CUNDINAMARCA,2013,0.466
41,HUILA,2013,0.546
44,LA GUAJIRA,2013,0.562
47,MAGDALENA,2013,0.496
50,META,2013,0.47
52,NARIÑO,2013,0.52
